year,0,1,2,3,4,5,6,7,8,9,10,11,12,13
2009,0.002354828,0.216879509,0.745544523,1.43498637,2.65953586,2.615746357,5.052124712,,,,,,,
2010,,0.101677516,0.715912446,1.360027956,2.064640335,3.825922612,5.41,4.640291276,,,,,,
2011,0.002363011,0.120387271,0.698066037,1.487698279,2.449978209,3.581290591,2.144,,3.98,,,,,
2012,,0.176090747,0.762453335,1.338135349,2.153093016,4.280692852,4.733642572,,,5.63,,,,
2013,,0.111817485,0.877423095,0.30866832,2.269674658,3.255112026,,,,,,,,
2014,0.001,0.241490621,0.823166674,1.814320066,2.383844232,2.582,,,,,,,,
2015,0.00143428,0.103831528,0.622097781,1.170907236,2.958540063,3.468150826,4.868046657,,,,,,,
2016,0.002203718,0.127879656,0.683644434,1.685809542,2.602721124,4.626572919,5.608762024,2.97,,,,,,
2017,0.001,0.016,0.853420482,1.381353315,1.609633038,2.472412879,3.28,4.810300145,4.862391498,3.684,,,,
2018,0.000830691,0.154273797,1.173290081,1.718681698,3.760584853,4.408084316,5.025,6.52,,,,,,
2019,0.001643859,0.0845,0.591192556,1.120450131,2.502095562,2.118,2.941550768,5.18,,,,,,
2020,0.007638282,0.173841617,0.682368752,1.844695389,2.553774844,3.199494485,,,,,,,,
2021,0.002,0.076965305,0.762610759,1.871747393,3.022598177,3.276307,3.849059467,,5.628750142,,,,,
