Age,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
27,277.2672115,230.1317856,238.8817334,247.9643671,257.3923359,213.6356388,221.758379,230.1899576,238.9394456,248.0215004,257.4487627,267.234354
28,277.3918943,230.2352723,238.9864826,248.0703253,257.4994435,213.7245381,221.8481778,230.2805958,239.0314474,248.1148385,257.543406,267.3302667
29,277.4890362,230.3159,239.0680932,248.1528769,257.5828898,213.7937986,221.9181383,230.3512097,239.1031231,248.1875547,257.6171383,267.4049874
30,277.5647139,230.3787126,239.1316709,248.2171872,257.6478966,213.8477542,221.9726389,230.4062188,239.158959,248.2442009,257.6745757,267.4631944
31,277.6236661,230.4276429,239.181197,248.2672837,257.6985354,213.8897844,222.0150933,230.449069,239.2024531,248.288326,257.7193169,267.5085349
32,277.6695868,230.465757,239.219775,248.3063058,257.7379797,213.9225232,222.0481625,230.4824463,239.2363318,248.322696,257.7541667,267.5438514
33,277.7053551,230.4954447,239.2498239,248.3367006,257.7687032,213.9480237,222.0739202,230.5084439,239.2627199,248.3494667,257.7813111,267.5713591
34,277.7332147,230.5185682,239.2732287,248.3603746,257.7926332,213.9678856,222.0939823,230.5286929,239.283273,248.3703178,257.8024531,267.5927841
35,277.7549137,230.5365784,239.2914579,248.3788135,257.8112715,213.9833553,222.109608,230.5444641,239.2992809,248.3865578,257.8189197,267.6094711
36,277.7718141,230.5506057,239.3056558,248.3931747,257.8257879,213.995404,222.1217781,230.5567474,239.3117487,248.3992063,257.8317447,267.6224677
37,277.7849768,230.5615308,239.3167137,248.4043598,257.8370939,214.0047879,222.1312566,230.5663142,239.3214591,248.4090574,257.8417332,267.6325899
38,277.7952284,230.5700396,239.3253259,248.4130711,257.8458993,214.0120964,222.1386388,230.573765,239.3290218,248.4167297,257.8495125,267.6404733
39,277.8032126,230.5766665,239.3320334,248.4198557,257.8527572,214.0177885,222.1443882,230.5795679,239.3415915,248.436572,257.8771617,267.6764939
