Age,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
15,222.6157262,155.8310084,164.7741745,174.2305904,184.2297114,194.8026836,161.6862274,170.9654254,180.7301382,191.0525637,201.964556,213.4997881
16,225.6938565,157.9856995,167.0090735,176.5478187,186.6313705,197.2908457,163.7514019,173.1040847,182.9515866,193.3592906,204.3590656,215.9845929
17,228.2714704,159.7900293,168.8801244,178.4873347,188.6410775,199.3724439,165.4791284,174.8928636,184.8092455,195.2878838,206.3606582,218.0612563
18,230.4252753,161.2976927,170.4432317,180.1073206,190.3193609,201.1104213,166.9216497,176.3860657,186.3596941,196.8972743,208.0306948,219.7936468
19,232.2217268,162.5552088,171.7467808,181.458084,191.7185061,202.5590967,168.1240502,177.6305086,187.6516728,198.2381889,209.4219515,221.2366549
20,233.717894,163.6025258,172.8322904,182.5827594,192.8833088,203.7649717,169.1249265,178.6662417,188.7268499,199.3539661,210.57949,222.4371176
21,234.9624423,164.4737096,173.7351434,183.5180839,193.8518971,204.7676021,169.9571098,179.5273111,189.6206295,200.2814108,211.5415585,223.4347702
22,235.9966376,165.1976463,174.4853276,184.2951775,194.6565532,205.6004623,170.6483837,180.2425143,190.3629453,201.0516281,212.3404694,224.2631674
23,236.8553127,165.7987189,175.1081457,184.9402872,195.3244934,206.2917619,171.2221624,180.83611,190.9790049,201.6908034,213.0034147,224.9505377
24,237.5677615,166.297433,175.6248698,185.4754721,195.8785836,206.865194,171.6981111,181.3284658,191.4899668,202.22091,213.5532067,225.5205561
25,238.1585461,166.7109823,176.0533312,185.9192179,196.3379808,207.3406029,172.0927004,181.7366365,191.9135439,202.6603389,214.008934,225.9930289
26,238.6482105,167.0537473,176.4084408,186.2869793,196.7186973,207.7345718,172.4196946,182.0748709,192.2645326,203.0244498,214.3865364,226.3844923
27,239.0539034,167.3377324,176.7026429,186.5916525,197.0340919,208.0609334,172.6905747,182.3550524,192.5552707,203.3260488,214.6993014,226.7087287
28,239.3899157,167.572941,176.9463066,186.8439812,197.2952923,208.3312084,172.914903,182.5870767,192.7960314,203.5757972,214.95829,226.9772097
29,239.668141,167.7676987,177.1480604,187.0529044,197.5115559,208.55498,173.1006334,182.7791744,192.995358,203.7825607,215.1726989,227.1994728
30,239.8984661,167.9289263,177.3150763,187.2258518,197.6905762,208.7402115,173.2543755,182.9381839,193.1603486,203.9537043,215.3501679,227.3834396
31,240.0891028,168.062372,177.4533105,187.3689931,197.8387411,208.8935146,173.3816171,183.0697828,193.2968957,204.0953416,215.497038,227.5356851
32,240.246866,168.1728062,177.567706,187.4874477,197.9613514,209.0203751,173.4869114,183.1786813,193.4098874,204.2125442,215.6185693,227.661663
33,240.377408,168.2641856,177.6623621,187.5854614,198.0628025,209.1253418,173.5740337,183.2687847,193.5033768,204.3095168,215.7191224,227.7658942
34,240.4854145,168.3397902,177.7406769,187.6665534,198.1467376,209.2121847,173.6461133,183.3433301,193.5807229,204.3897439,215.8023112,227.8521253
35,240.5747681,168.4023377,177.8054661,187.7336397,198.2161755,209.2840275,173.7057428,183.404999,193.6447083,204.4561123,215.8711292,227.9234595
36,240.648685,168.4540795,177.859062,187.7891354,198.2736161,209.3434572,173.7550695,183.4560123,193.6976376,204.5110125,215.9280554,227.9824668
37,240.7098284,168.4968799,177.9033959,187.8350405,198.3211297,209.3926159,173.7958712,183.4982089,193.7414189,204.5564239,215.9751424,228.031275
38,240.7604032,168.5322822,177.9400665,187.8730106,198.3604301,209.4332768,173.8296198,183.5331112,193.7776317,204.5939848,216.0140892,228.0716452
39,240.8022345,168.5615642,177.9703973,187.9044161,198.3929359,209.4669077,173.8575334,183.5619789,193.8047373,204.6190417,216.0367842,228.0916368
