year,1,2,3,4,5,6,7,8,9,10,11,12
2010,0.392624718,0.946931292,1.6078193,2.437313532,2.992793015,3.624271266,4.215178263,5.793697223,4.436455923,,,
2011,,1.261080424,1.673381225,2.22276573,2.880045835,3.38345324,3.994960686,4.150587377,3.993746498,8.833366235,,
2012,0.953155475,1.13048457,1.87882117,2.593062547,2.823367843,3.520229643,3.2287227,4.112188095,4.245359719,,,
2013,0.334120175,1.222469338,1.847257624,2.445331789,3.249516545,3.381327012,5.169583326,5.089211299,5.427238748,,,
2014,0.576711161,1.322766865,1.996321556,2.635771582,3.531072206,3.970545624,6.331005949,7.031386044,11.09985451,,,
2015,,1.120541199,1.61327254,2.402833765,3.170715149,4.050205413,6.806069423,11.09985451,,8.032980124,,
2016,0.149766559,1.055582322,1.83993328,2.523183281,3.462165294,4.339078314,4.803435458,5.227538015,7.534970185,5.554697177,,
2017,,0.807336822,1.680605401,2.338812509,2.837637069,3.416247419,4.289087955,6.30714477,5.148551731,6.580724587,,
2018,0.478693615,0.967329102,1.581439149,2.712002072,3.471229771,4.885718002,6.244200019,6.637354142,8.032980124,6.85782374,13.6433211,
2019,0,0.895429649,1.725857021,2.735005768,3.643104971,4.031078666,4.991760216,4.700083198,,,,
2020,0.507320557,0.82188911,1.446475549,1.840766546,2.324810118,2.844888467,3.700132897,9.971465967,5.776167509,,,
2021,0,1.03868515,1.645332019,2.607998787,2.90596322,3.283860027,4.449838786,5.699372309,9.609381211,17.93359586,,
